,??????,,???????,???????,???,???????,??
1,?????????,1-1,????????????????,???????,client_sei,??,
2,?????????,1-1,????????????????,???????,client_mei,??,
3,?????????,1-2,?????????????????,1950?3?11????,client_birth,3/11/1950,
4,?????????,1-3,???????????????,????????????????????,client_foreign_comfirmation,??,
5,?????????,1-4,?????????????,??????????????????????,application_reason,2? ?????????????????,
6,?????????,1-5,???????????????????,????????????????,client_existing_will,??,
7,?????????,1-6,???????????????????,????????,client_mutual_will,???,
8,?????????,1-7,??????????????????????????????????,??????,client_mutual_will_relation,???,
9,?????????,1-8,??????????????????????????????????,??????,client_mutual_will_name,????,????????????????????????????????
10,?????????,,???????????????,???????????????,municipal_office,???,
11,-,,-,-,client_info_special_notes,-,
12,????????,,?????????????????????????????????,???????????,heir1_relationship,???,
13,????????,,,,heir2_relationship,??,
14,????????,,?????????????????????????????,??????????????????,heir1_sei,??,
15,????????,,,,heir1_mei,??,
16,????????,,,,heir2_sei,??,
17,????????,,,,heir2_mei,??,
18,????????,,???????????????????????????,??1955?6?25??????1980?12?25????,heir1_birth,6/25/1953,
19,????????,,,,heir2_birth,12/25/1980,
20,????????,,,,heir1_hoju_requirement,????????,
21,????????,,??????70??????????????????20?????????????????????????????????,?????????,heir1_hoju_judge,????,
22,????????,,,,heir1_not_hoju_reason,-,
23,????????,,??????70???????????20??????????????????????????????????????,,heir2_hoju_requirement,???????,
24,????????,,,,heir2_hoju_judge,?????,
25,????????,,,,heir2_not_hoju_reason,-,
26,????????,,-,-,special_notes1,-,
27,????????,,?????????????????????????????????????????????,?????????,disclosure_approve,???,
28,????????,,?????????????????????????????????????????????????????,????????,heir_contact_confirmation,?????,
29,????????,,????????????????????????????????????????,????????,heir_capacity_confirmation,?????,
30,????????,,????????????????????????????????,?????????,heir_foreign_confirmation,?????,
31,????????,,????????????????????????????????????????????,-,financial_asset_distribution,??,????????????
32,????????,,???????????????????????????????????????????????????????????????????????????????????????????????,-,obligation,??,????????????
33,????????,,??????????????????????????????????????????????????????????????????????,-,not_financial_asset_distribution,??,????????????
34,????????,,???????????????????????????????????????????????????????????????????????????????????????????????????,-,risk_explanation,??,????????????
35,????????,,?????????????,????????,estate_exists,??,
36,,,??????????????????????????,??????????????2??????,estate_details,????????????2?,
37,,,???????????????????????????,????????????2????????????,estate_distribution_plan,"?? : ???
???????? : ?????",
38,,,???????????????????????,??????????????????????????????????????????????????????,estate_distribution_reason,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,,,,,,,
43,,,,,,,
44,,,,,,,
45,,,,,,,
46,,,,,,,
47,,,,,,,
48,,,,,,,
49,,,,,,,
50,,,,,,,
51,,,,,,,
52,,,,,,,
53,,,,,,,
54,,,,,,,
55,,,,,,,
56,,,,,,,
57,,,,,,,
58,,,,,,,
59,,,,,,,
60,,,,,,,
61,,,,,,,
62,,,,,,,
63,,,,,,,
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,,,,,,,
71,,,,,,,
72,,,,,,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,,,,,,,
77,,,,,,,
78,,,,,,,
79,,,,,,,
80,,,,,,,
81,,,,,,,
